C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-04 21:29:29.009073: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-04 21:29:29.009343: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-04 21:29:41.021900: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-04 21:29:41.026418: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-04 21:29:41.026766: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-04 21:29:41.041693: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-04 21:29:41.042461: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-04 21:29:41.043500: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-04 21:29:41.044641: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 739, epsilon: 1.5, 보상 합:459
에피소드 100 : 512, epsilon: 1.4268262953635011, 보상 합:318
에피소드 200 : 686, epsilon: 1.3572221847604897, 보상 합:440
에피소드 300 : 643, epsilon: 1.2910135345779783, 보상 합:370
에피소드 400 : 278, epsilon: 1.2280347058706922, 보상 합:153
에피소드 500 : 434, epsilon: 1.1681281399701908, 보상 합:265
에피소드 600 : 611, epsilon: 1.111143964309016, 보상 합:385
에피소드 700 : 531, epsilon: 1.056939617473699, 보상 합:321
에피소드 800 : 873, epsilon: 1.005379492548609, 보상 합:532
에피소드 900 : 419, epsilon: 0.9563345978583789, 보상 합:257
에피소드 1000 : 647, epsilon: 0.9096822342601434, 보상 합:406
에피소드 1100 : 841, epsilon: 0.8653056881782626, 보상 합:566
에피소드 1200 : 855, epsilon: 0.8230939396135708, 보상 합:566
에피소드 1300 : 408, epsilon: 0.7829413843966541, 보상 합:263
에피소드 1400 : 726, epsilon: 0.7447475699902992, 보상 합:513
에피소드 1500 : 565, epsilon: 0.7084169441801518, 보상 합:382
에피소드 1600 : 468, epsilon: 0.6738586160248651, 보상 합:324
에피소드 1700 : 999, epsilon: 0.6409861284676901, 보상 합:744
에피소드 1800 : 567, epsilon: 0.6097172420406319, 보상 합:415
에피소드 1900 : 988, epsilon: 0.5799737291200572, 보상 합:760
에피소드 2000 : 595, epsilon: 0.5516811782190176, 보상 합:449
에피소드 2100 : 851, epsilon: 0.5247688078266746, 보상 합:672
