C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-05 20:55:06.214278: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-05 20:55:06.215274: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-05 20:55:25.105431: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-05 20:55:25.113283: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-05 20:55:25.114112: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-05 20:55:25.139850: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-05 20:55:25.140382: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-05 20:55:25.144495: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-05 20:55:25.147231: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 655, epsilon: 1.5, 보상 합:395
에피소드 100 : 889, epsilon: 1.4268262953635011, 보상 합:585
에피소드 200 : 716, epsilon: 1.3572221847604897, 보상 합:450
에피소드 300 : 999, epsilon: 1.2910135345779783, 보상 합:643
에피소드 400 : 748, epsilon: 1.2280347058706922, 보상 합:455
에피소드 500 : 519, epsilon: 1.1681281399701908, 보상 합:288
에피소드 600 : 993, epsilon: 1.111143964309016, 보상 합:626
에피소드 700 : 361, epsilon: 1.056939617473699, 보상 합:216
에피소드 800 : 701, epsilon: 1.005379492548609, 보상 합:435
에피소드 900 : 999, epsilon: 0.9563345978583789, 보상 합:639
에피소드 1000 : 999, epsilon: 0.9096822342601434, 보상 합:659
에피소드 1100 : 568, epsilon: 0.8653056881782626, 보상 합:388
에피소드 1200 : 775, epsilon: 0.8230939396135708, 보상 합:524
에피소드 1300 : 459, epsilon: 0.7829413843966541, 보상 합:307
에피소드 1400 : 999, epsilon: 0.7447475699902992, 보상 합:721
에피소드 1500 : 999, epsilon: 0.7084169441801518, 보상 합:721
에피소드 1600 : 280, epsilon: 0.6738586160248651, 보상 합:183
에피소드 1700 : 743, epsilon: 0.6409861284676901, 보상 합:564
에피소드 1800 : 640, epsilon: 0.6097172420406319, 보상 합:491
에피소드 1900 : 999, epsilon: 0.5799737291200572, 보상 합:809
에피소드 2000 : 999, epsilon: 0.5516811782190176, 보상 합:776
에피소드 2100 : 858, epsilon: 0.5247688078266746, 보상 합:692
에피소드 2200 : 999, epsilon: 0.4991692893291036, 보상 합:835
에피소드 2300 : 999, epsilon: 0.47481857856845094, 보상 합:837
에피소드 2400 : 364, epsilon: 0.45165575561905763, 보상 합:261
에피소드 2500 : 650, epsilon: 0.4296228723796952, 보상 합:509
에피소드 2600 : 999, epsilon: 0.40866480760063095, 보상 합:836
에피소드 2700 : 964, epsilon: 0.38872912898283096, 보상 합:798
에피소드 2800 : 573, epsilon: 0.3697659620043022, 보상 합:441
에피소드 2900 : 999, epsilon: 0.351727865145413, 보상 합:836
에피소드 3000 : 999, epsilon: 0.33456971120102863, 보상 합:879
에피소드 3100 : 372, epsilon: 0.3182485743825335, 보상 합:270
에피소드 3200 : 602, epsilon: 0.3027236229272975, 보상 합:481
에피소드 3300 : 129, epsilon: 0.2879560169469154, 보상 합:54
에피소드 3400 : 302, epsilon: 0.27390881125866456, 보상 합:236
에피소드 3500 : 999, epsilon: 0.26054686295708057, 보상 합:905
에피소드 3600 : 999, epsilon: 0.24783674349442225, 보상 합:892
에피소드 3700 : 405, epsilon: 0.23574665505006714, 보상 합:318
에피소드 3800 : 726, epsilon: 0.22424635097961643, 보상 합:657
에피소드 3900 : 767, epsilon: 0.2133070601446863, 보상 합:674
에피소드 4000 : 488, epsilon: 0.20290141493408156, 보상 합:396
에피소드 4100 : 999, epsilon: 0.19300338279627216, 보상 합:897
에피소드 4200 : 999, epsilon: 0.18358820111188587, 보상 합:895
에피소드 4300 : 650, epsilon: 0.17463231524328113, 보상 합:553
